destination,date,weather,temperature,travelRestriction
YUL,2024-12-21T21:12:00,Sunny,6.1,None
CUN,2025-08-21T20:17:00,Snowy,2.9,Health Check
HKG,2024-07-23T18:43:00,Cloudy,24.5,Health Check
YYZ,2025-10-26T12:22:00,Sunny,32.8,Health Check
JFK,2025-10-18T20:47:00,Sunny,-4.5,None
SJO,2025-09-01T12:38:00,Cloudy,7.1,Visa Required
DOH,2025-11-14T10:22:00,Cloudy,-7.6,Visa Required
YUL,2025-08-17T17:28:00,Snowy,23.0,Visa Required
HKG,2025-02-21T06:54:00,Rainy,6.4,None
MEX,2025-06-21T00:36:00,Rainy,23.9,None
NRT,2025-07-23T07:06:00,Cloudy,23.6,Visa Required
MIA,2025-09-21T21:01:00,Sunny,-1.2,Health Check
SJO,2024-06-21T17:26:00,Snowy,17.2,Visa Required
AMS,2025-07-16T07:08:00,Snowy,-5.7,Visa Required
MIA,2025-12-16T14:33:00,Cloudy,12.1,Health Check
NRT,2024-04-18T09:50:00,Snowy,8.4,None
NRT,2025-03-13T17:26:00,Rainy,-4.0,None
YVR,2024-12-05T23:26:00,Rainy,12.1,Health Check
MEX,2025-11-03T02:00:00,Cloudy,29.9,Health Check
AMS,2024-03-24T02:20:00,Sunny,2.9,Health Check
YYZ,2025-09-02T23:50:00,Cloudy,10.7,Health Check
DEL,2024-07-06T19:09:00,Cloudy,-1.8,Visa Required
MIA,2024-04-10T05:12:00,Sunny,27.8,Health Check
SJO,2025-02-02T05:37:00,Snowy,29.5,None
FRA,2025-04-01T19:36:00,Snowy,17.5,Health Check
YVR,2025-07-06T11:55:00,Sunny,6.6,Health Check
YVR,2024-10-30T14:07:00,Snowy,23.5,Health Check
DXB,2024-07-31T04:29:00,Cloudy,-0.3,Health Check
AMS,2024-06-15T16:56:00,Cloudy,16.0,None
LAX,2024-12-25T00:03:00,Rainy,1.5,None
YYZ,2024-08-26T19:48:00,Sunny,14.4,Health Check
DXB,2024-08-13T20:13:00,Snowy,2.3,None
CDG,2025-05-15T19:09:00,Sunny,21.3,None
SIN,2025-03-04T10:41:00,Cloudy,-9.7,Health Check
PTY,2025-12-18T14:40:00,Snowy,31.8,Visa Required
DEL,2025-08-05T01:42:00,Snowy,14.8,Visa Required
DOH,2024-12-17T19:05:00,Rainy,-7.6,Health Check
SIN,2025-11-04T01:29:00,Rainy,15.9,Health Check
MEX,2024-05-24T15:30:00,Cloudy,21.0,None
YVR,2024-12-15T22:39:00,Snowy,34.8,Health Check
JFK,2025-11-11T10:37:00,Rainy,18.0,Visa Required
CUN,2024-04-23T23:05:00,Sunny,34.1,Visa Required
DEL,2024-01-08T21:44:00,Snowy,0.8,Visa Required
JFK,2025-11-17T05:38:00,Cloudy,-7.5,None
DOH,2024-10-19T15:04:00,Cloudy,-8.3,Visa Required
NRT,2025-07-16T19:06:00,Sunny,-4.1,None
ORD,2024-06-11T02:18:00,Sunny,9.5,Health Check
LAX,2025-01-29T17:15:00,Rainy,-4.5,Health Check
PTY,2025-06-09T12:07:00,Rainy,6.4,Health Check
DOH,2024-10-23T16:19:00,Cloudy,15.7,Health Check
MEX,2025-04-21T04:29:00,Rainy,13.4,Health Check
CUN,2024-01-08T22:54:00,Rainy,9.9,None
NRT,2024-10-11T07:52:00,Cloudy,9.2,Health Check
HKG,2025-12-15T10:57:00,Snowy,28.8,Visa Required
CUN,2025-06-01T16:19:00,Cloudy,18.7,None
PTY,2025-10-20T21:41:00,Snowy,-7.2,None
LHR,2024-09-17T20:11:00,Snowy,34.8,Visa Required
CDG,2024-05-20T14:18:00,Sunny,21.6,None
SIN,2025-12-17T22:47:00,Snowy,15.0,None
LHR,2024-03-04T00:08:00,Cloudy,8.7,Visa Required
MEX,2024-02-08T14:23:00,Cloudy,26.5,Visa Required
YUL,2024-02-26T11:48:00,Rainy,2.5,Visa Required
NRT,2025-01-06T00:04:00,Snowy,5.4,Visa Required
ORD,2024-10-31T17:39:00,Cloudy,2.5,Health Check
DXB,2025-07-15T03:49:00,Snowy,15.5,Health Check
DEL,2025-10-29T13:27:00,Rainy,-2.5,Health Check
CUN,2025-03-04T17:48:00,Cloudy,0.1,Visa Required
SJO,2024-12-10T16:06:00,Cloudy,3.8,None
DOH,2025-04-12T04:10:00,Rainy,-9.5,Visa Required
MEX,2025-01-07T21:37:00,Sunny,22.6,Visa Required
MIA,2025-11-22T10:14:00,Sunny,-3.4,Health Check
YVR,2024-12-01T04:50:00,Snowy,32.1,None
PTY,2024-01-19T07:44:00,Cloudy,28.6,Visa Required
JFK,2024-07-23T16:52:00,Rainy,2.0,Visa Required
DXB,2024-10-20T06:04:00,Rainy,33.2,None
YVR,2024-04-14T04:51:00,Sunny,1.1,Health Check
SJO,2025-05-29T04:00:00,Rainy,25.0,Visa Required
LHR,2025-04-26T20:12:00,Cloudy,0.3,Visa Required
AMS,2025-05-23T21:30:00,Rainy,5.8,None
HKG,2025-12-10T13:15:00,Snowy,33.0,Health Check
DEL,2024-12-28T15:10:00,Cloudy,7.5,None
DEL,2025-05-07T11:21:00,Cloudy,-0.4,None
YVR,2024-01-12T18:56:00,Sunny,31.4,None
CDG,2025-05-09T16:37:00,Snowy,-4.0,None
MEX,2024-02-14T14:02:00,Sunny,1.7,Visa Required
NRT,2025-12-17T13:05:00,Rainy,27.9,Visa Required
YVR,2024-06-25T07:43:00,Cloudy,31.8,None
LHR,2025-02-05T17:25:00,Rainy,17.1,Visa Required
MIA,2025-10-20T21:07:00,Sunny,30.5,None
FRA,2025-10-08T18:13:00,Snowy,27.0,Health Check
PTY,2025-09-25T04:02:00,Rainy,25.1,Health Check
DEL,2024-12-17T20:02:00,Rainy,6.8,Health Check
HKG,2024-07-25T08:04:00,Cloudy,14.2,Health Check
ORD,2024-02-18T02:06:00,Snowy,8.8,None
MEX,2024-02-12T10:31:00,Cloudy,9.5,Visa Required
NRT,2024-04-11T05:26:00,Snowy,-0.6,Health Check
HKG,2025-08-25T19:47:00,Cloudy,-9.5,Health Check
